,0,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,
part_id,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process
U611 E11C,0,1,HF010,7,1,HF020,23,1,HF031,37,12,HA011,49,19,HA031,73,4,FB011,84,16,HA041,106,15,FB021,133,7,PB011,155,1,HL023,,,Sink,,,,,,
U611 E12C,0,1,HF010,7,1,HF020,23,1,HF031,35,13,HA011,49,16,HA031,60,21,HA021,67,12,FB011,78,15,HA041,100,2,FB021,105,1,HL011,,,Sink,,,,,,
U611 E31S,9,1,HF010,17,1,HF020,32,1,HF031,44,15,HA011,63,16,HA031,71,14,HA021,79,2,FB011,85,11,HA041,102,7,FB021,120,6,PB011,158,1,PS023,161,1,HL023,,,Sink
U611 E31P,9,1,HF010,17,1,HF020,32,1,HF031,46,15,HA011,65,18,HA031,73,13,HA021,84,2,FB011,87,11,HA041,102,7,FB021,121,5,PB011,158,1,PS023,161,1,HL023,,,Sink
U611 E32S,14,1,HF010,23,1,HF020,37,1,HF031,59,6,HA011,70,12,HA031,78,15,HA021,87,2,FB011,92,11,HA041,107,7,FB021,122,6,PB011,158,1,PS023,161,1,HL023,,,Sink
U611 E32P,14,1,HF010,23,1,HF020,37,1,HF031,51,6,HA011,66,12,HA031,74,17,HA021,85,2,FB011,88,11,HA041,105,7,FB021,121,5,PB011,158,1,PS023,161,1,HL023,,,Sink
U611 A11C,14,1,HF010,23,1,HF020,37,1,HF031,52,6,HA021,66,32,HA041,113,4,FB021,129,5,PB011,155,1,HL023,,,Sink,,,,,,,,,,,,
U611 A22C,16,1,HF010,24,1,HF020,38,1,HF031,50,15,HA011,67,26,HA031,98,2,FB011,101,17,HA041,126,4,FB021,151,8,PB011,175,1,PS023,176,1,HL023,,,Sink,,,
U611 E41S,21,1,HF010,29,1,HF020,43,1,HF031,53,16,HA011,72,19,HA031,80,16,HA021,88,7,FB011,94,10,HA041,109,8,FB021,130,7,PB011,162,1,PS023,163,1,HL023,,,Sink
U611 E41P,21,1,HF010,29,1,HF020,43,1,HF031,63,16,HA011,78,19,HA031,85,17,HA021,86,17,FB011,100,10,HA041,114,8,FB021,128,5,PB011,162,1,PS023,163,1,HL023,,,Sink
U611 E21S,23,1,HF010,30,1,HF020,44,1,HF031,63,13,HA011,77,14,HA031,86,14,HA021,94,2,FB011,99,10,HA041,113,6,FB021,134,6,PB011,154,1,PS023,155,1,HL023,,,Sink
U611 B12P,23,1,HF010,30,1,HF020,44,1,HF031,65,5,HA011,73,8,HA031,79,5,HA021,88,10,HA041,102,3,FB021,108,1,HL011,,,Sink,,,,,,,,,
U611 E42S,23,1,HF010,30,1,HF020,44,1,HF031,52,16,HA011,73,17,HA031,80,19,HA021,92,2,FB011,95,10,HA041,112,8,FB021,135,6,PB011,162,1,PS023,163,1,HL023,,,Sink
U611 E42P,23,1,HF010,30,1,HF020,44,1,HF031,64,16,HA011,79,19,HA031,86,17,HA021,91,11,FB011,101,10,HA041,115,8,FB021,133,5,PB011,162,1,PS023,163,1,HL023,,,Sink
U611 B12S,23,1,HF010,30,1,HF020,44,1,HF031,66,5,HA011,74,8,HA031,85,3,HA021,91,10,HA041,105,3,FB021,108,1,HL011,,,Sink,,,,,,,,,
U611 E21P,23,1,HF010,30,1,HF020,44,1,HF031,59,13,HA011,73,16,HA031,84,14,HA021,92,2,FB011,95,10,HA041,109,5,FB021,133,6,PB011,154,1,PS023,155,1,HL023,,,Sink
U611 B51S,24,1,HF010,31,1,HF020,45,1,HF031,71,6,HA011,84,14,HA031,98,8,HA021,102,2,FB011,107,11,HA041,122,4,FB021,129,7,PB011,151,1,HL023,,,Sink,,,
U611 E13C,24,1,HF010,31,1,HF020,45,1,HF031,66,5,HA021,74,14,HA041,98,2,FB021,100,1,HL011,,,Sink,,,,,,,,,,,,,,,
U611 E22S,24,1,HF010,31,1,HF020,45,1,HF031,70,5,HA021,79,12,HA041,98,2,FB021,105,1,HL011,,,Sink,,,,,,,,,,,,,,,
U611 B51P,24,1,HF010,31,1,HF020,45,1,HF031,65,6,HA011,74,14,HA031,91,8,HA021,95,2,FB011,100,11,HA041,115,4,FB021,128,7,PB011,151,1,HL023,,,Sink,,,
U611 S13S,25,1,HF010,32,1,HF020,46,1,HF031,70,13,HA011,80,24,HA031,99,5,HA021,109,10,HA041,123,4,FB021,141,7,PB011,158,1,PS023,161,1,HL023,,,Sink,,,
U611 E22P,25,1,HF010,32,1,HF020,46,1,HF031,70,5,HA021,79,12,HA041,98,2,FB021,105,1,HL011,,,Sink,,,,,,,,,,,,,,,
U611 S11S,28,1,HF010,35,1,HF020,49,1,HF031,71,7,HA011,84,8,HA031,88,10,HA021,94,2,FB011,99,13,HA041,119,4,FB021,133,8,PB011,150,1,PS023,151,1,HL023,,,Sink
U611 S13P,28,1,HF010,35,1,HF020,49,1,HF031,67,13,HA011,78,25,HA031,95,5,HA021,107,10,HA041,122,4,FB021,137,8,PB011,157,1,PS023,158,1,HL023,,,Sink,,,
U611 S11P,28,1,HF010,35,1,HF020,49,1,HF031,66,7,HA011,78,8,HA031,86,7,HA021,91,3,FB011,94,13,HA041,114,4,FB021,130,7,PB011,150,1,PS023,151,1,HL023,,,Sink
U611 A21S,29,1,HF010,36,1,HF020,50,1,HF031,66,10,HA011,84,14,HA031,91,20,HA021,102,2,FB011,107,12,HA041,123,4,FB021,130,1,HL011,,,Sink,,,,,,
U611 A21P,29,1,HF010,36,1,HF020,50,1,HF031,64,10,HA011,79,14,HA031,87,22,HA021,100,2,FB011,105,12,HA041,121,4,FB021,130,1,HL011,,,Sink,,,,,,
U611 E52S,30,1,HF010,37,1,HF020,51,1,HF031,71,12,HA011,87,12,HA031,95,14,HA021,105,2,FB011,108,10,HA041,122,8,FB021,141,6,PB011,162,1,PS023,163,1,HL023,,,Sink
U611 E23S,31,1,HF010,38,1,HF020,52,1,HF031,71,5,HA021,86,8,HA041,98,2,FB021,100,1,HL011,,,Sink,,,,,,,,,,,,,,,
U611 E51S,31,1,HF010,38,1,HF020,52,1,HF031,72,14,HA011,91,9,HA031,93,14,HA021,100,4,FB011,106,14,HA041,126,8,FB021,140,6,PB011,162,1,PS023,163,1,HL023,,,Sink
U611 E52P,31,1,HF010,38,1,HF020,52,1,HF031,66,12,HA011,84,12,HA031,92,14,HA021,100,2,FB011,105,10,HA041,119,7,FB021,135,6,PB011,162,1,PS023,163,1,HL023,,,Sink
U611 S14P,31,1,HF010,38,1,HF020,52,1,HF031,71,13,HA011,84,21,HA031,100,5,HA021,112,10,HA041,126,4,FB021,140,8,PB011,164,1,PS023,165,1,HL023,,,Sink,,,
U611 B14P,31,1,HF010,38,1,HF020,52,1,HF031,73,5,HA011,84,8,HA031,88,5,HA021,98,9,HA041,109,3,FB021,116,1,HL011,,,Sink,,,,,,,,,
U611 B14S,31,1,HF010,38,1,HF020,52,1,HF031,74,5,HA011,85,8,HA031,93,3,HA021,99,9,HA041,112,3,FB021,116,1,HL011,,,Sink,,,,,,,,,
U611 E51P,32,1,HF010,39,1,HF020,53,1,HF031,65,14,HA011,86,8,HA031,88,14,HA021,95,6,FB011,101,14,HA041,121,7,FB021,134,6,PB011,162,1,PS023,163,1,HL023,,,Sink
U611 S14S,32,1,HF010,39,1,HF020,53,1,HF031,74,13,HA011,87,23,HA031,105,5,HA021,115,10,HA041,129,5,FB021,144,8,PB011,168,1,PS023,169,1,HL023,,,Sink,,,
U611 S15P,32,1,HF010,39,1,HF020,53,1,HF031,72,13,HA011,85,23,HA031,101,11,HA021,106,3,FB011,113,10,HA041,127,4,FB021,143,7,PB011,164,1,PS023,165,1,HL023,,,Sink
U611 E23P,32,1,HF010,39,1,HF020,53,1,HF031,71,5,HA021,85,8,HA041,98,2,FB021,100,1,HL011,,,Sink,,,,,,,,,,,,,,,
U611 B15S,35,1,HF010,42,1,HF020,59,1,HF031,78,5,HA011,87,8,HA031,95,3,HA021,101,9,HA041,114,3,FB021,119,1,HL011,,,Sink,,,,,,,,,
U611 S15S,35,1,HF010,42,1,HF020,59,1,HF031,77,13,HA011,88,23,HA031,106,11,HA021,109,5,FB011,116,10,HA041,130,5,FB021,148,8,PB011,168,1,PS023,169,1,HL023,,,Sink
U611 B15P,35,1,HF010,42,1,HF020,59,1,HF031,77,5,HA011,86,8,HA031,92,8,HA021,100,9,HA041,113,3,FB021,119,1,HL011,,,Sink,,,,,,,,,
U611 B52P,37,1,HF010,44,1,HF020,63,1,HF031,78,6,HA011,88,12,HA031,99,11,HA021,106,2,FB011,109,14,HA041,129,3,FB021,140,7,PB011,158,1,HL023,,,Sink,,,
U612 E11C,37,1,HF010,44,1,HF020,63,1,HF031,77,12,HA011,88,21,HA031,109,4,FB011,119,16,HA041,141,15,FB021,169,7,PB011,189,1,HL023,,,Sink,,,,,,
U612 E12C,37,1,HF010,44,1,HF020,63,1,HF031,73,13,HA011,88,18,HA031,98,19,HA021,105,10,FB011,114,15,HA041,135,2,FB021,140,1,HL011,,,Sink,,,,,,
U611 B16S,37,1,HF010,44,1,HF020,63,1,HF031,80,5,HA011,91,8,HA031,99,3,HA021,105,9,HA041,116,3,FB021,122,1,HL011,,,Sink,,,,,,,,,
U611 B16P,37,1,HF010,44,1,HF020,63,1,HF031,79,5,HA011,88,8,HA031,94,5,HA021,102,9,HA041,115,2,FB021,122,1,HL011,,,Sink,,,,,,,,,
U611 B52S,37,1,HF010,44,1,HF020,63,1,HF031,85,6,HA011,94,12,HA031,105,9,HA021,112,2,FB011,115,14,HA041,135,3,FB021,143,7,PB011,161,1,HL023,,,Sink,,,
U611 B11C,38,1,HF010,45,1,HF020,64,1,HF031,80,5,HA011,91,8,HA031,98,5,HA021,106,11,HA041,121,3,FB021,128,7,PB011,151,1,HL023,,,Sink,,,,,,
U611 S16P,39,1,HF010,46,1,HF020,65,1,HF031,79,13,HA011,92,23,HA031,109,10,HA021,115,2,FB011,120,10,HA041,134,4,FB021,150,8,PB011,169,1,PS023,170,1,HL023,,,Sink
U611 B17S,39,1,HF010,46,1,HF020,65,1,HF031,85,5,HA011,93,8,HA031,101,3,HA021,107,9,HA041,120,3,FB021,123,1,HL011,,,Sink,,,,,,,,,
U611 B17P,39,1,HF010,46,1,HF020,65,1,HF031,84,5,HA011,92,8,HA031,98,5,HA021,106,9,HA041,119,3,FB021,123,1,HL011,,,Sink,,,,,,,,,
U611 S16S,42,1,HF010,49,1,HF020,66,1,HF031,85,13,HA011,95,23,HA031,114,10,HA021,120,2,FB011,123,10,HA041,137,4,FB021,154,8,PB011,171,1,PS023,172,1,HL023,,,Sink
U611 S17P,42,1,HF010,49,1,HF020,66,1,HF031,80,13,HA011,93,23,HA031,112,8,HA021,116,2,FB011,121,10,HA041,135,4,FB021,151,8,PB011,169,1,PS023,170,1,HL023,,,Sink
U611 S17S,43,1,HF010,50,1,HF020,67,1,HF031,86,13,HA011,98,21,HA031,115,10,HA021,121,2,FB011,126,10,HA041,140,4,FB021,155,8,PB011,171,1,PS023,172,1,HL023,,,Sink
U611 F41P,45,1,HF010,52,1,HF020,71,1,HF031,85,15,HA011,98,17,HA031,106,8,HA021,112,2,FB011,115,16,HA041,137,5,FB021,151,6,PB011,171,1,PS023,172,1,HL023,,,Sink
U611 F41S,45,1,HF010,52,1,HF020,71,1,HF031,92,15,HA011,106,16,HA031,113,11,HA021,120,2,FB011,123,16,HA041,149,5,FB021,161,6,PB011,171,1,PS023,172,1,HL023,,,Sink
U611 S12P,46,1,HF010,53,1,HF020,72,1,HF031,85,13,HA011,99,10,HA031,105,5,HA021,113,9,HA041,126,4,FB021,140,7,PB011,157,1,PS023,158,1,HL023,,,Sink,,,
U612 E31S,49,1,HF010,59,1,HF020,73,1,HF031,86,15,HA011,100,18,HA031,108,14,HA021,116,2,FB011,121,11,HA041,140,7,FB021,156,6,PB011,197,1,PS023,198,1,HL023,,,Sink
U611 H31C,49,1,HF010,59,1,HF020,73,1,HF031,88,5,HA031,95,15,FB021,116,9,PB011,129,1,HL023,,,Sink,,,,,,,,,,,,,,,
