,Time,Event,Part,Process,SubProcess
0,0.0,part_created,2471_631,Source,
1,0.0,part_transferred,2471_631,Source,
2,0.0,Process_entered,2471_631,plate_weld,
3,0.0,routing_ended,2471_631,plate_weld,
4,0.0,queue_entered,2471_631,plate_weld,plate_weld_0
5,0.0,queue_released,2471_631,plate_weld,plate_weld_0
6,0.0,work_start,2471_631,plate_weld,plate_weld_0
7,2.0,work_finish,2471_631,plate_weld,plate_weld_0
8,2.0,part_transferred,2471_631,plate_weld,plate_weld_0
9,2.0,Process_entered,2471_631,saw_front,
10,2.0,routing_ended,2471_631,saw_front,
11,2.0,queue_entered,2471_631,saw_front,saw_front_0
12,2.0,queue_released,2471_631,saw_front,saw_front_0
13,2.0,work_start,2471_631,saw_front,saw_front_0
14,3.9,work_finish,2471_631,saw_front,saw_front_0
15,3.9,part_transferred,2471_631,saw_front,saw_front_0
16,3.9,Process_entered,2471_631,turn_over,
17,3.9,routing_ended,2471_631,turn_over,
18,3.9,queue_entered,2471_631,turn_over,turn_over_0
19,3.9,queue_released,2471_631,turn_over,turn_over_0
20,3.9,work_start,2471_631,turn_over,turn_over_0
21,4.4,work_finish,2471_631,turn_over,turn_over_0
22,4.4,part_transferred,2471_631,turn_over,turn_over_0
23,4.4,Process_entered,2471_631,saw_back,
24,4.4,routing_ended,2471_631,saw_back,
25,4.4,queue_entered,2471_631,saw_back,saw_back_0
26,4.4,queue_released,2471_631,saw_back,saw_back_0
27,4.4,work_start,2471_631,saw_back,saw_back_0
28,6.300000000000001,work_finish,2471_631,saw_back,saw_back_0
29,6.300000000000001,part_transferred,2471_631,saw_back,saw_back_0
30,6.300000000000001,Process_entered,2471_631,longi_attach,
31,6.300000000000001,routing_ended,2471_631,longi_attach,
32,6.300000000000001,queue_entered,2471_631,longi_attach,longi_attach_0
33,6.300000000000001,queue_released,2471_631,longi_attach,longi_attach_0
34,6.300000000000001,work_start,2471_631,longi_attach,longi_attach_0
